date,date_id,wind,desc,temp,baro,hum
"Thursday, February 25, 2021, 12:00 pm — 6:00 pm",1614254400000.0,8.078,Partly sunny.,53.6,30.35,60
"Thursday, February 25, 2021, 6:00 pm — 12:00 am",1614276000000.0,4.35,Clear.,50.0,30.47,80
"Friday, February 26, 2021, 12:00 am — 6:00 am",1614297600000.0,1.864,Clear.,35.6,30.56,93
"Friday, February 26, 2021, 6:00 am — 12:00 pm",1614319200000.0,1.864,Sunny.,51.8,30.63,81
"Friday, February 26, 2021, 12:00 pm — 6:00 pm",1614340800000.0,6.836,Passing clouds.,53.6,30.63,50
"Friday, February 26, 2021, 6:00 pm — 12:00 am",1614362400000.0,1.864,Clear.,46.4,30.68,79
"Saturday, February 27, 2021, 12:00 am — 6:00 am",1614384000000.0,2.486,Clear.,33.8,30.72,95
"Saturday, February 27, 2021, 6:00 am — 12:00 pm",1614405600000.0,3.107,Sunny.,53.6,30.74,79
"Saturday, February 27, 2021, 12:00 pm — 6:00 pm",1614427200000.0,5.593,Passing clouds.,55.4,30.72,55
"Saturday, February 27, 2021, 6:00 pm — 12:00 am",1614448800000.0,4.971,Clear.,48.2,30.72,79
"Sunday, February 28, 2021, 12:00 am — 6:00 am",1614470400000.0,4.35,Clear.,37.4,30.68,98
"Sunday, February 28, 2021, 6:00 am — 12:00 pm",1614492000000.0,6.836,Fog.,42.8,30.66,95
